Pokemon	hp	atk	def	spa	spd	spe
Starmie	60	75	85	100	85	115
Mr. Mime	40	45	65	100	120	90
Scyther	70	110	80	55	80	105
Jynx	65	50	35	115	95	95
Electabuzz	65	83	57	95	85	105
Magmar	65	95	57	100	85	93
Pinsir	65	125	100	55	70	85
Pinsir (Mega Pinsir)	65	155	120	65	90	105
Tauros	75	100	95	40	70	110
Magikarp	20	10	55	15	20	80
Gyarados	95	125	79	60	100	81
Gyarados (Mega Gyarados)	95	155	109	70	130	81
Lapras	130	85	80	85	95	60
Ditto	48	48	48	48	48	48
Eevee	55	55	50	45	65	55
Vaporeon	130	65	60	110	95	65
Jolteon	65	65	60	110	95	130
Flareon	65	130	60	95	110	65
Porygon	65	60	70	85	75	40
Omanyte	35	40	100	90	55	35
Omastar	70	60	125	115	70	55
Kabuto	30	80	90	55	45	55
Kabutops	60	115	105	65	70	80
Aerodactyl	80	105	65	60	75	130
Aerodactyl (Mega Aerodactyl)	80	135	85	70	95	150
Snorlax	160	110	65	65	110	30
Articuno	90	85	100	95	125	85
Zapdos	90	90	85	125	90	100
Moltres	90	100	90	125	85	90
Dratini	41	64	45	50	50	50
Dragonair	61	84	65	70	70	70
Dragonite	91	134	95	100	100	80
Mewtwo	106	110	90	154	90	130
Mewtwo (Mega Mewtwo X)	106	190	100	154	100	130
Mewtwo (Mega Mewtwo Y)	106	150	70	194	120	140
Mew	100	100	100	100	100	100
Chikorita	45	49	65	49	65	45
Bayleef	60	62	80	63	80	60
Meganium	80	82	100	83	100	80
Cyndaquil	39	52	43	60	50	65
Quilava	58	64	58	80	65	80
Typhlosion	78	84	78	109	85	100
Totodile	50	65	64	44	48	43
Croconaw	65	80	80	59	63	58
Feraligatr	85	105	100	79	83	78
Sentret	35	46	34	35	45	20
Furret	85	76	64	45	55	90
Hoothoot	60	30	30	36	56	50
Noctowl	100	50	50	86	96	70
Ledyba	40	20	30	40	80	55
Ledian	55	35	50	55	110	85
Spinarak	40	60	40	40	40	30
Ariados	70	90	70	60	70	40
Crobat	85	90	80	70	80	130
Chinchou	75	38	38	56	56	67
Lanturn	125	58	58	76	76	67
Pichu	20	40	15	35	35	60
Cleffa	50	25	28	45	55	15
Igglybuff	90	30	15	40	20	15
Togepi	35	20	65	40	65	20
Togetic	55	40	85	80	105	40
Natu	40	50	45	70	45	70
Xatu	65	75	70	95	70	95
Mareep	55	40	40	65	45	35
Flaaffy	70	55	55	80	60	45
Ampharos	90	75	85	115	90	55
Ampharos (Mega Ampharos)	90	95	105	165	110	45
Bellossom	75	80	95	90	100	50
Marill	70	20	50	20	50	40
Azumarill	100	50	80	60	80	50
Sudowoodo	70	100	115	30	65	30
Politoed	90	75	75	90	100	70
Hoppip	35	35	40	35	55	50
Skiploom	55	45	50	45	65	80
Jumpluff	75	55	70	55	95	110
Aipom	55	70	55	40	55	85
Sunkern	30	30	30	30	30	30
Sunflora	75	75	55	105	85	30
Yanma	65	65	45	75	45	95
Wooper	55	45	45	25	25	15
Quagsire	95	85	85	65	65	35
Espeon	65	65	60	130	95	110
Umbreon	95	65	110	60	130	65
Murkrow	60	85	42	85	42	91
Slowking	95	75	80	100	110	30
Misdreavus	60	60	60	85	85	85
Unown	48	72	48	72	48	48
Wobbuffet	190	33	58	33	58	33
Girafarig	70	80	65	90	65	85
Pineco	50	65	90	35	35	15
Forretress	75	90	140	60	60	40
Dunsparce	100	70	70	65	65	45
Gligar	65	75	105	35	65	85
Steelix	75	85	200	55	65	30
Steelix (Mega Steelix)	75	125	230	55	95	30
Snubbull	60	80	50	40	40	30
Granbull	90	120	75	60	60	45
Qwilfish	65	95	85	55	55	85
Scizor	70	130	100	55	80	65
Scizor (Mega Scizor)	70	150	140	65	100	75
Shuckle	20	10	230	10	230	5
Heracross	80	125	75	40	95	85
Heracross (Mega Heracross)	80	185	115	40	105	75
Sneasel	55	95	55	35	75	115
Teddiursa	60	80	50	50	50	40
Ursaring	90	130	75	75	75	55
Slugma	40	40	40	70	40	20
Magcargo	60	50	120	90	80	30
Swinub	50	50	40	30	30	50
Piloswine	100	100	80	60	60	50
Corsola	65	55	95	65	95	35
Remoraid	35	65	35	65	35	65
Octillery	75	105	75	105	75	45
Delibird	45	55	45	65	45	75
Mantine	85	40	70	80	140	70
Skarmory	65	80	140	40	70	70
Houndour	45	60	30	80	50	65
Houndoom	75	90	50	110	80	95
Houndoom (Mega Houndoom)	75	90	90	140	90	115
Kingdra	75	95	95	95	95	85
Phanpy	90	60	60	40	40	40
Donphan	90	120	120	60	60	50
Porygon2	85	80	90	105	95	60
Stantler	73	95	62	85	65	85
Smeargle	55	20	35	20	45	75
Tyrogue	35	35	35	35	35	35
Hitmontop	50	95	95	35	110	70
Smoochum	45	30	15	85	65	65
Elekid	45	63	37	65	55	95
Magby	45	75	37	70	55	83
Miltank	95	80	105	40	70	100
Blissey	255	10	10	75	135	55
Raikou	90	85	75	115	100	115
Entei	115	115	85	90	75	100
Suicune	100	75	115	90	115	85
Larvitar	50	64	50	45	50	41
Pupitar	70	84	70	65	70	51
Tyranitar	100	134	110	95	100	61
Tyranitar (Mega Tyranitar)	100	164	150	95	120	71
Lugia	106	90	130	90	154	110
Ho-Oh	106	130	90	110	154	90
Celebi	100	100	100	100	100	100
Treecko	40	45	35	65	55	70
Grovyle	50	65	45	85	65	95
Sceptile	70	85	65	105	85	120
Sceptile (Mega Sceptile)	70	110	75	145	85	145
Torchic	45	60	40	70	50	45
Combusken	60	85	60	85	60	55
Blaziken	80	120	70	110	70	80
Blaziken (Mega Blaziken)	80	160	80	130	80	100
Mudkip	50	70	50	50	50	40
Marshtomp	70	85	70	60	70	50
Swampert	100	110	90	85	90	60
Swampert (Mega Swampert)	100	150	110	95	110	70
Poochyena	35	55	35	30	30	35
Mightyena	70	90	70	60	60	70
Zigzagoon	38	30	41	30	41	60
Linoone	78	70	61	50	61	100
Wurmple	45	45	35	20	30	20
Silcoon	50	35	55	25	25	15
Beautifly	60	70	50	100	50	65
Cascoon	50	35	55	25	25	15
Dustox	60	50	70	50	90	65
Lotad	40	30	30	40	50	30
Lombre	60	50	50	60	70	50
Ludicolo	80	70	70	90	100	70
Seedot	40	40	50	30	30	30
Nuzleaf	70	70	40	60	40	60
Shiftry	90	100	60	90	60	80
Taillow	40	55	30	30	30	85
Swellow	60	85	60	75	50	125
Wingull	40	30	30	55	30	85
Pelipper	60	50	100	95	70	65
Ralts	28	25	25	45	35	40
Kirlia	38	35	35	65	55	50
Gardevoir	68	65	65	125	115	80
Gardevoir (Mega Gardevoir)	68	85	65	165	135	100
Surskit	40	30	32	50	52	65
Masquerain	70	60	62	100	82	80
Shroomish	60	40	60	40	60	35
Breloom	60	130	80	60	60	70
Slakoth	60	60	60	35	35	30
Vigoroth	80	80	80	55	55	90
Slaking	150	160	100	95	65	100
Nincada	31	45	90	30	30	40
Ninjask	61	90	45	50	50	160
Shedinja	1	90	45	30	30	40
Whismur	64	51	23	51	23	28
Loudred	84	71	43	71	43	48
Exploud	104	91	63	91	73	68
Makuhita	72	60	30	20	30	25
Hariyama	144	120	60	40	60	50
Azurill	50	20	40	20	40	20
Nosepass	30	45	135	45	90	30
Skitty	50	45	45	35	35	50
Delcatty	70	65	65	55	55	90
Sableye	50	75	75	65	65	50
Sableye (Mega Sableye)	50	85	125	85	115	20
Mawile	50	85	85	55	55	50
Mawile (Mega Mawile)	50	105	125	55	95	50
Aron	50	70	100	40	40	30
Lairon	60	90	140	50	50	40
Aggron	70	110	180	60	60	50
Aggron (Mega Aggron)	70	140	230	60	80	50
Meditite	30	40	55	40	55	60
Medicham	60	60	75	60	75	80
Medicham (Mega Medicham)	60	100	85	80	85	100
Electrike	40	45	40	65	40	65
Manectric	70	75	60	105	60	105
Manectric (Mega Manectric)	70	75	80	135	80	135
Plusle	60	50	40	85	75	95
Minun	60	40	50	75	85	95
Volbeat	65	73	75	47	85	85
Illumise	65	47	75	73	85	85
Roselia	50	60	45	100	80	65
Gulpin	70	43	53	43	53	40
Swalot	100	73	83	73	83	55
Carvanha	45	90	20	65	20	65
Sharpedo	70	120	40	95	40	95
Sharpedo (Mega Sharpedo)	70	140	70	110	65	105
Wailmer	130	70	35	70	35	60
Wailord	170	90	45	90	45	60
Numel	60	60	40	65	45	35
Camerupt	70	100	70	105	75	40
Camerupt (Mega Camerupt)	70	120	100	145	105	20
Torkoal	70	85	140	85	70	20
Spoink	60	25	35	70	80	60
Grumpig	80	45	65	90	110	80
Spinda	60	60	60	60	60	60
Trapinch	45	100	45	45	45	10
Vibrava	50	70	50	50	50	70
Flygon	80	100	80	80	80	100
Cacnea	50	85	40	85	40	35
Cacturne	70	115	60	115	60	55
Swablu	45	40	60	40	75	50
Altaria	75	70	90	70	105	80
Altaria (Mega Altaria)	75	110	110	110	105	80
Zangoose	73	115	60	60	60	90
Seviper	73	100	60	100	60	65
Lunatone	90	55	65	95	85	70
Solrock	90	95	85	55	65	70
Barboach	50	48	43	46	41	60
Whiscash	110	78	73	76	71	60
Corphish	43	80	65	50	35	35
Crawdaunt	63	120	85	90	55	55
Baltoy	40	40	55	40	70	55
Claydol	60	70	105	70	120	75
Lileep	66	41	77	61	87	23
Cradily	86	81	97	81	107	43
Anorith	45	95	50	40	50	75
Armaldo	75	125	100	70	80	45
Feebas	20	15	20	10	55	80
Milotic	95	60	79	100	125	81
Castform	70	70	70	70	70	70
Kecleon	60	90	70	60	120	40
Shuppet	44	75	35	63	33	45
Banette	64	115	65	83	63	65
Banette (Mega Banette)	64	165	75	93	83	75
Duskull	20	40	90	30	90	25
Dusclops	40	70	130	60	130	25
Tropius	99	68	83	72	87	51
Chimecho	75	50	80	95	90	65
Absol	65	130	60	75	60	75
Absol (Mega Absol)	65	150	60	115	60	115
Wynaut	95	23	48	23	48	23
Snorunt	50	50	50	50	50	50
Glalie	80	80	80	80	80	80
Glalie (Mega Glalie)	80	120	80	120	80	100
Spheal	70	40	50	55	50	25
Sealeo	90	60	70	75	70	45
Walrein	110	80	90	95	90	65
Clamperl	35	64	85	74	55	32
Huntail	55	104	105	94	75	52
Gorebyss	55	84	105	114	75	52
Relicanth	100	90	130	45	65	55
Luvdisc	43	30	55	40	65	97
Bagon	45	75	60	40	30	50
Shelgon	65	95	100	60	50	50
Salamence	95	135	80	110	80	100
Salamence (Mega Salamence)	95	145	130	120	90	120
Beldum	40	55	80	35	60	30
Metang	60	75	100	55	80	50
Metagross	80	135	130	95	90	70
Metagross (Mega Metagross)	80	145	150	105	110	110
Regirock	80	100	200	50	100	50
Regice	80	50	100	100	200	50
Registeel	80	75	150	75	150	50
Latias	80	80	90	110	130	110
Latias (Mega Latias)	80	100	120	140	150	110
Latios	80	90	80	130	110	110
Latios (Mega Latios)	80	130	100	160	120	110
Kyogre	100	100	90	150	140	90
Kyogre (Primal Kyogre)	100	150	90	180	160	90
Groudon	100	150	140	100	90	90
Groudon (Primal Groudon)	100	180	160	150	90	90
Rayquaza	105	150	90	150	90	95
Rayquaza (Mega Rayquaza)	105	180	100	180	100	115
Jirachi	100	100	100	100	100	100
Deoxys (Normal Forme)	50	150	50	150	50	150
Deoxys (Attack Forme)	50	180	20	180	20	150
Deoxys (Defense Forme)	50	70	160	70	160	90
Deoxys (Speed Forme)	50	95	90	95	90	180
Turtwig	55	68	64	45	55	31
Grotle	75	89	85	55	65	36
Torterra	95	109	105	75	85	56
Chimchar	44	58	44	58	44	61
Monferno	64	78	52	78	52	81
Infernape	76	104	71	104	71	108
Piplup	53	51	53	61	56	40
Prinplup	64	66	68	81	76	50
Empoleon	84	86	88	111	101	60
Starly	40	55	30	30	30	60
Staravia	55	75	50	40	40	80
Staraptor	85	120	70	50	60	100
Bidoof	59	45	40	35	40	31
Bibarel	79	85	60	55	60	71
Kricketot	37	25	41	25	41	25
Kricketune	77	85	51	55	51	65
Shinx	45	65	34	40	34	45
Luxio	60	85	49	60	49	60
Luxray	80	120	79	95	79	70
Budew	40	30	35	50	70	55
Roserade	60	70	65	125	105	90
Cranidos	67	125	40	30	30	58
Rampardos	97	165	60	65	50	58
Shieldon	30	42	118	42	88	30
Bastiodon	60	52	168	47	138	30
Burmy	40	29	45	29	45	36
Wormadam (Plant Cloak)	60	59	85	79	105	36
Wormadam (Sandy Cloak)	60	79	105	59	85	36
Wormadam (Trash Cloak)	60	69	95	69	95	36
Mothim	70	94	50	94	50	66
Combee	30	30	42	30	42	70
Vespiquen	70	80	102	80	102	40
Pachirisu	60	45	70	45	90	95
Buizel	55	65	35	60	30	85
Floatzel	85	105	55	85	50	115
Cherubi	45	35	45	62	53	35
Cherrim	70	60	70	87	78	85
Shellos	76	48	48	57	62	34
Gastrodon	111	83	68	92	82	39
Ambipom	75	100	66	60	66	115
Drifloon	90	50	34	60	44	70
Drifblim	150	80	44	90	54	80
Buneary	55	66	44	44	56	85
Lopunny	65	76	84	54	96	105
Lopunny (Mega Lopunny)	65	136	94	54	96	135
Mismagius	60	60	60	105	105	105
Honchkrow	100	125	52	105	52	71
Glameow	49	55	42	42	37	85
Purugly	71	82	64	64	59	112
Chingling	45	30	50	65	50	45
Stunky	63	63	47	41	41	74
Skuntank	103	93	67	71	61	84
Bronzor	57	24	86	24	86	23
Bronzong	67	89	116	79	116	33
Bonsly	50	80	95	10	45	10
Mime Jr.	20	25	45	70	90	60
Happiny	100	5	5	15	65	30
Chatot	76	65	45	92	42	91
Spiritomb	50	92	108	92	108	35
Gible	58	70	45	40	45	42
Gabite	68	90	65	50	55	82
Garchomp	108	130	95	80	85	102
Garchomp (Mega Garchomp)	108	170	115	120	95	92
Munchlax	135	85	40	40	85	5
Riolu	40	70	40	35	40	60
Lucario	70	110	70	115	70	90
Lucario (Mega Lucario)	70	145	88	140	70	112
Hippopotas	68	72	78	38	42	32
Hippowdon	108	112	118	68	72	47
Skorupi	40	50	90	30	55	65
Drapion	70	90	110	60	75	95
Croagunk	48	61	40	61	40	50
Toxicroak	83	106	65	86	65	85
Carnivine	74	100	72	90	72	46
Finneon	49	49	56	49	61	66
Lumineon	69	69	76	69	86	91
Mantyke	45	20	50	60	120	50
Snover	60	62	50	62	60	40
Abomasnow	90	92	75	92	85	60
Abomasnow (Mega Abomasnow)	90	132	105	132	105	30
Weavile	70	120	65	45	85	125
Magnezone	70	70	115	130	90	60
Lickilicky	110	85	95	80	95	50
Rhyperior	115	140	130	55	55	40
Tangrowth	100	100	125	110	50	50
Electivire	75	123	67	95	85	95
Magmortar	75	95	67	125	95	83
Togekiss	85	50	95	120	115	80
Yanmega	86	76	86	116	56	95
Leafeon	65	110	130	60	65	95
Glaceon	65	60	110	130	95	65
Gliscor	75	95	125	45	75	95
Mamoswine	110	130	80	70	60	80
Porygon-Z	85	80	70	135	75	90
Gallade	68	125	65	65	115	80
Gallade (Mega Gallade)	68	165	95	65	115	110
Probopass	60	55	145	75	150	40
Dusknoir	45	100	135	65	135	45
Froslass	70	80	70	80	70	110
Rotom	50	50	77	95	77	91
Rotom (Heat Rotom)	50	65	107	105	107	86
Rotom (Wash Rotom)	50	65	107	105	107	86
Rotom (Frost Rotom)	50	65	107	105	107	86
Rotom (Fan Rotom)	50	65	107	105	107	86
Rotom (Mow Rotom)	50	65	107	105	107	86
Uxie	75	75	130	75	130	95
Mesprit	80	105	105	105	105	80
Azelf	75	125	70	125	70	115
Dialga	100	120	120	150	100	90
Palkia	90	120	100	150	120	100
Heatran	91	90	106	130	106	77
Regigigas	110	160	110	80	110	100
Giratina (Altered Forme)	150	100	120	100	120	90
Giratina (Origin Forme)	150	120	100	120	100	90
Cresselia	120	70	120	75	130	85
Phione	80	80	80	80	80	80
Manaphy	100	100	100	100	100	100
Darkrai	70	90	90	135	90	125
Shaymin (Land Forme)	100	100	100	100	100	100
Shaymin (Sky Forme)	100	103	75	120	75	127
Arceus	120	120	120	120	120	120
Victini	100	100	100	100	100	100
Snivy	45	45	55	45	55	63
Servine	60	60	75	60	75	83
Serperior	75	75	95	75	95	113
Tepig	65	63	45	45	45	45
Pignite	90	93	55	70	55	55
Emboar	110	123	65	100	65	65
Oshawott	55	55	45	63	45	45
Dewott	75	75	60	83	60	60
Samurott	95	100	85	108	70	70
Patrat	45	55	39	35	39	42
Watchog	60	85	69	60	69	77
Lillipup	45	60	45	25	45	55
Herdier	65	80	65	35	65	60
Stoutland	85	110	90	45	90	80
Purrloin	41	50	37	50	37	66
Liepard	64	88	50	88	50	106
Pansage	50	53	48	53	48	64
Simisage	75	98	63	98	63	101
Pansear	50	53	48	53	48	64
Simisear	75	98	63	98	63	101
Panpour	50	53	48	53	48	64
Simipour	75	98	63	98	63	101
Munna	76	25	45	67	55	24
Musharna	116	55	85	107	95	29
Pidove	50	55	50	36	30	43
Tranquill	62	77	62	50	42	65
Unfezant	80	115	80	65	55	93
Blitzle	45	60	32	50	32	76
Zebstrika	75	100	63	80	63	116
Roggenrola	55	75	85	25	25	15
Boldore	70	105	105	50	40	20
Gigalith	85	135	130	60	80	25
Woobat	65	45	43	55	43	72
Swoobat	67	57	55	77	55	114
Drilbur	60	85	40	30	45	68
Excadrill	110	135	60	50	65	88
Audino	103	60	86	60	86	50
Audino (Mega Audino)	103	60	126	80	126	50
Timburr	75	80	55	25	35	35
Gurdurr	85	105	85	40	50	40
Conkeldurr	105	140	95	55	65	45
Tympole	50	50	40	50	40	64
Palpitoad	75	65	55	65	55	69
Seismitoad	105	95	75	85	75	74
Throh	120	100	85	30	85	45
Sawk	75	125	75	30	75	85
Sewaddle	45	53	70	40	60	42
Swadloon	55	63	90	50	80	42
Leavanny	75	103	80	70	80	92
Venipede	30	45	59	30	39	57
Whirlipede	40	55	99	40	79	47
Scolipede	60	100	89	55	69	112
Cottonee	40	27	60	37	50	66
Whimsicott	60	67	85	77	75	116
Petilil	45	35	50	70	50	30
Lilligant	70	60	75	110	75	90
Basculin	70	92	65	80	55	98
Sandile	50	72	35	35	35	65
Krokorok	60	82	45	45	45	74
Krookodile	95	117	80	65	70	92
Darumaka	70	90	45	15	45	50
Darmanitan (Standard Mode)	105	140	55	30	55	95
Darmanitan (Zen Mode)	105	30	105	140	105	55
Maractus	75	86	67	106	67	60
Dwebble	50	65	85	35	35	55
Crustle	70	105	125	65	75	45
Scraggy	50	75	70	35	70	48
Scrafty	65	90	115	45	115	58
Sigilyph	72	58	80	103	80	97
Yamask	38	30	85	55	65	30
Cofagrigus	58	50	145	95	105	30
Tirtouga	54	78	103	53	45	22
Carracosta	74	108	133	83	65	32
Archen	55	112	45	74	45	70
Archeops	75	140	65	112	65	110
Trubbish	50	50	62	40	62	65
Garbodor	80	95	82	60	82	75
Zorua	40	65	40	80	40	65
Zoroark	60	105	60	120	60	105
Minccino	55	50	40	40	40	75
Cinccino	75	95	60	65	60	115
Gothita	45	30	50	55	65	45
Gothorita	60	45	70	75	85	55
Gothitelle	70	55	95	95	110	65
Solosis	45	30	40	105	50	20
Duosion	65	40	50	125	60	30
Reuniclus	110	65	75	125	85	30
Ducklett	62	44	50	44	50	55
Swanna	75	87	63	87	63	98
Vanillite	36	50	50	65	60	44
Vanillish	51	65	65	80	75	59
Vanilluxe	71	95	85	110	95	79
Deerling	60	60	50	40	50	75
Sawsbuck	80	100	70	60	70	95
Emolga	55	75	60	75	60	103
Karrablast	50	75	45	40	45	60
Escavalier	70	135	105	60	105	20
Foongus	69	55	45	55	55	15
Amoonguss	114	85	70	85	80	30
Frillish	55	40	50	65	85	40
Jellicent	100	60	70	85	105	60
Alomomola	165	75	80	40	45	65
Joltik	50	47	50	57	50	65
Galvantula	70	77	60	97	60	108
Ferroseed	44	50	91	24	86	10
Ferrothorn	74	94	131	54	116	20
Klink	40	55	70	45	60	30
Klang	60	80	95	70	85	50
Klinklang	60	100	115	70	85	90
Tynamo	35	55	40	45	40	60
Eelektrik	65	85	70	75	70	40
Eelektross	85	115	80	105	80	50
Elgyem	55	55	55	85	55	30
Beheeyem	75	75	75	125	95	40
Litwick	50	30	55	65	55	20
Lampent	60	40	60	95	60	55
Chandelure	60	55	90	145	90	80
Axew	46	87	60	30	40	57
Fraxure	66	117	70	40	50	67
Haxorus	76	147	90	60	70	97
Cubchoo	55	70	40	60	40	40
Beartic	95	130	80	70	80	50
Cryogonal	80	50	50	95	135	105
Shelmet	50	40	85	40	65	25
Accelgor	80	70	40	100	60	145
Stunfisk	109	66	84	81	99	32
Mienfoo	45	85	50	55	50	65
Mienshao	65	125	60	95	60	105
Druddigon	77	120	90	60	90	48
Golett	59	74	50	35	50	35
Golurk	89	124	80	55	80	55
Pawniard	45	85	70	40	40	60
Bisharp	65	125	100	60	70	70
Bouffalant	95	110	95	40	95	55
Rufflet	70	83	50	37	50	60
Braviary	100	123	75	57	75	80
Vullaby	70	55	75	45	65	60
Mandibuzz	110	65	105	55	95	80
Heatmor	85	97	66	105	66	65
Durant	58	109	112	48	48	109
Deino	52	65	50	45	50	38
Zweilous	72	85	70	65	70	58
Hydreigon	92	105	90	125	90	98
Larvesta	55	85	55	50	55	60
Volcarona	85	60	65	135	105	100
Cobalion	91	90	129	90	72	108
Terrakion	91	129	90	72	90	108
Virizion	91	90	72	90	129	108
Tornadus (Incarnate Forme)	79	115	70	125	80	111
Tornadus (Therian Forme)	79	100	80	110	90	121
Thundurus (Incarnate Forme)	79	115	70	125	80	111
Thundurus (Therian Forme)	79	105	70	145	80	101
Reshiram	100	120	100	150	120	90
Zekrom	100	150	120	120	100	90
Landorus (Incarnate Forme)	89	125	90	115	80	101
Landorus (Therian Forme)	89	145	90	105	80	91
Kyurem (Normal Kyurem)	125	130	90	130	90	95
Kyurem (Black Kyurem)	125	170	100	120	90	95
Kyurem (White Kyurem)	125	120	90	170	100	95
Keldeo	91	72	90	129	90	108
Meloetta (Aria Forme)	100	77	77	128	128	90
Meloetta (Pirouette Forme)	100	128	90	77	77	128
Genesect	71	120	95	120	95	99
Chespin	56	61	65	48	45	38
Quilladin	61	78	95	56	58	57
